label_id	epithelial	neuron	gut	muscle	secretory	excretory	dormant
3.0	0.5708561277244422	0.06716668183864534	0.09020851209392299	0.23181579837387017	0.020610774449911128	0.016413437182261164	0.002928668336947083
4.0	0.2858150451215146	0.2977133916361968	0.04697058065211902	0.2693086560272348	0.0766216601002857	0.01676246663415242	0.0068081998284966454
6.0	0.4378585908362272	0.06370289750954146	0.027697370284702115	0.0938584800020581	0.07896637902653388	0.169599157206038	0.12831712513489923
8.0	0.542909849857716	0.09516593013414819	0.09313243594974939	0.09391735347938049	0.06320993971599928	0.07205761108353322	0.03960687977947344
9.0	0.32014964397908474	0.18275604262028025	0.05588762695082277	0.4072857479794815	0.01978048003218348	0.010804626402731814	0.003335832035415584
11.0	0.10068354472553573	0.5240891282894885	0.011333353783600234	0.19640137437482405	0.04815810619327188	0.009332521123149924	0.11000197151012975
14.0	0.6833466635653439	0.08206609690617388	0.027623265959591643	0.11844502717371626	0.024605980313175346	0.03352102357225275	0.030391942509746188
15.0	0.19415156687762405	0.24553678734663653	0.09555550634751718	0.2228137694229634	0.08323360870770923	0.11719360350097584	0.041515157796573644
16.0	0.21717645676703518	0.2813595971936673	0.05197248303551037	0.3314025664509309	0.08855073683889497	0.024632485686961095	0.0049056740270001006
19.0	0.2687577654887836	0.22827332333012149	0.027294528970342274	0.3689472412207877	0.07468394599943533	0.02735546199384829	0.004687732996681468
24.0	0.4209419150355803	0.0003263518333092824	0.2197984580177398	0.004934263020521616	0.010767118422153008	0.34224325181959153	0.000988641851104443
31.0	0.17191510058723908	0.17804284488080938	0.11075700189562035	0.18418684801040588	0.2570770048217217	0.08864641278498021	0.009374787019223308
36.0	0.2798287861722637	0.0028355066952847527	0.0383181280170358	0.014216876948531661	0.10883174058414392	0.5440263995774374	0.011942562005302786
37.0	0.230019969345421	0.007454755531688964	0.09031199138394376	0.02805727237345349	0.19640495514197862	0.4404775616981297	0.007273494525384545
40.0	0.38634597465554754	0.13740363840987718	0.016155844460643307	0.12211283325290445	0.03749625568827906	0.07942264143938704	0.2210628120933615
41.0	0.2058928375355495	0.4184155514954842	0.07233737128956938	0.1979176615014657	0.06099513470260252	0.02426986418660364	0.020171579288724966
42.0	0.5424175084464645	0.023521035735605603	0.07460795296993353	0.06837267747643311	0.052782704711815356	0.19515568730533744	0.04314243335441039
46.0	0.19552677849750832	0.006596978847176287	0.019737650548006386	0.017947060881765314	0.23074512737848976	0.47427544297864266	0.05517096086841121
47.0	0.6070316316084938	0.05271431319696274	0.06175775391151148	0.13330450493956264	0.08258416888270445	0.0546190281846134	0.007988599276151602
48.0	0.2225453406326925	0.242985002684459	0.11952409991308029	0.32646494436190365	0.03339035265772731	0.03990214538097486	0.01518811436916231
50.0	0.5788348780912198	0.057056762346178534	0.07494282142180768	0.054859567914867	0.07275293036784106	0.10702828557832085	0.054524754279765074
53.0	0.46289668364543624	0.191894496496908	0.05073562744922101	0.18199910708906009	0.08915258844156741	0.017541216519751227	0.00578028035805595
